taxi_id,time,lon,lat,is_passenger,speed
22223,2021-11-08 00:11,114.225487,22.552933,0,23
22223,2021/11/8 0:15,114.229202,22.56015,0,0
22223,2021/11/8 0:29,114.255898,22.591,0,14
22223,2021/11/8 0:54,114.119637,22.565916,0,38
22223,2021/11/8 1:08,114.166786,22.608232,0,0
22223,2021/11/8 1:50,114.175117,22.568649,0,14
22223,2021/11/8 7:44,113.886848,22.547617,0,0
22223,2021/11/8 11:51,114.088264,22.543449,0,7
22223,2021/11/8 12:13,114.116798,22.56065,0,13
22223,2021/11/8 12:20,114.121834,22.575132,0,0
22223,2021/11/8 12:36,114.084564,22.57085,0,0
22223,2021/11/8 12:43,114.06282,22.545433,0,0
22223,2021/11/8 13:04,114.127647,22.549049,0,0
22223,2021/11/8 13:12,114.138283,22.546101,0,23
22223,2021/11/8 20:37,114.13768,22.570999,0,31
22223,2021/11/8 21:23,114.115196,22.590584,0,0
22223,2021/11/8 21:45,114.020699,22.532351,0,0
22223,2021/11/8 21:55,114.036034,22.522682,0,0
22223,2021/11/8 22:07,114.04068,22.530649,0,0
22223,2021/11/8 22:26,114.06797,22.518999,0,4
22223,2021/11/8 22:33,114.062347,22.526051,0,0
22223,2021/11/8 22:47,114.033516,22.528799,0,0
22223,2021/11/8 22:58,114.020981,22.532301,0,0
22223,2021/11/8 23:31,114.045914,22.605749,0,0
22223,2021/11/8 23:53,114.101501,22.547899,0,0
22224,2021/11/8 0:06,114.031998,22.54875,0,3
22224,2021/11/8 0:20,114.019218,22.560617,0,3
22224,2021/11/8 0:41,114.121002,22.581484,0,5
22224,2021/11/8 1:08,114.108002,22.566116,0,6
22224,2021/11/8 1:35,114.02858,22.559816,0,2
22224,2021/11/8 7:00,113.886986,22.547417,0,8
22224,2021/11/8 10:36,113.96637,22.566299,0,0
22224,2021/11/8 10:56,114.045097,22.5257,0,4
22224,2021/11/8 11:10,114.04187,22.512966,0,0
22224,2021/11/8 11:16,114.048653,22.5235,0,12
22224,2021/11/8 11:25,114.061531,22.549801,0,2
22224,2021/11/8 11:37,114.064598,22.530167,0,1
22224,2021/11/8 11:56,114.084015,22.544783,0,1
22224,2021/11/8 12:24,114.05468,22.625217,0,1
22224,2021/11/8 13:19,114.119484,22.573816,0,4
22224,2021/11/8 13:31,114.113113,22.549816,0,3
22224,2021/11/8 13:39,114.098419,22.561632,0,1
22224,2021/11/8 14:00,114.071701,22.527683,0,3
22224,2021/11/8 14:15,114.049934,22.549267,0,0
22224,2021/11/8 14:29,114.024368,22.526934,0,0
22224,2021/11/8 14:57,113.919914,22.519583,0,0
22224,2021/11/8 15:14,113.923164,22.549133,0,1
22224,2021/11/8 15:29,113.943069,22.52635,0,14
22224,2021/11/8 16:14,114.046684,22.633301,0,0
22224,2021/11/8 16:44,114.022346,22.618532,0,4
22224,2021/11/8 17:47,113.786934,22.678682,0,3
22224,2021/11/8 19:00,113.81813,22.649332,0,0
22224,2021/11/8 20:00,114.033699,22.567249,0,1
22224,2021/11/8 20:32,114.022049,22.657749,0,3
22224,2021/11/8 20:46,114.021553,22.639233,0,3
22224,2021/11/8 21:05,114.029915,22.543934,0,2
22224,2021/11/8 21:12,114.008301,22.5487,0,0
22224,2021/11/8 21:29,114.042282,22.55975,0,2
22224,2021/11/8 21:56,114.117081,22.603983,0,14
22224,2021/11/8 22:06,114.101883,22.598232,0,1
22224,2021/11/8 22:20,114.085785,22.565582,0,1
22224,2021/11/8 22:37,114.101799,22.547567,0,2
22224,2021/11/8 22:46,114.105797,22.553368,0,2
22224,2021/11/8 22:56,114.120903,22.5436,0,10
22225,2021/11/8 6:36,113.958168,22.686617,0,8
22225,2021/11/8 7:07,114.041336,22.6576,0,18
22225,2021/11/8 7:33,114.03257,22.633818,0,0
22225,2021/11/8 7:53,114.044136,22.599899,0,31
22225,2021/11/8 8:29,114.028481,22.6579,0,1
22225,2021/11/8 9:04,114.032097,22.638849,0,7
22225,2021/11/8 9:41,114.036217,22.633083,0,0
22225,2021/11/8 9:56,114.031998,22.630199,0,15
22225,2021/11/8 10:17,114.032829,22.629368,0,0
22225,2021/11/8 10:32,114.023048,22.644617,0,46
22225,2021/11/8 11:07,114.038582,22.647266,0,0
22225,2021/11/8 11:33,114.057137,22.663933,0,26
22225,2021/11/8 12:38,114.02153,22.639601,0,3
22225,2021/11/8 12:58,114.051414,22.6052,0,36
22225,2021/11/8 13:23,114.045998,22.6432,0,35
22225,2021/11/8 13:38,114.024582,22.620649,0,0
22225,2021/11/8 14:29,114.11528,22.653168,0,26
22225,2021/11/8 15:41,113.99382,22.674183,0,0
22225,2021/11/8 16:11,113.92215,22.673384,0,39
22225,2021/11/8 17:32,113.888031,22.568701,0,0
22225,2021/11/8 18:03,113.849586,22.616917,0,29
22225,2021/11/8 19:15,114.029671,22.612017,0,24
22225,2021/11/8 19:46,114.032669,22.640682,0,18
22225,2021/11/8 19:56,114.026047,22.651501,0,40
22225,2021/11/8 20:42,114.021034,22.65205,0,7
22225,2021/11/8 20:57,114.036583,22.653749,0,13
22225,2021/11/8 21:27,114.025299,22.6745,0,6
